Retrieving normalised data from file...
... data loaded.
num_classes = 43
Training with EPOCHS=700 BATCH_SIZE=256 rate=<dynamic> num_colours=3 layer1 depth=24

Epochs	Validation Accuracy
594	0.943311
595	0.942857
596	0.941723
597	0.941950
598	0.936281
599	0.937415
600	0.938095
601	0.939683
602	0.939683
603	0.939909
604	0.939909
605	0.940816
606	0.940363
607	0.940816
608	0.941043
609	0.941043
610	0.941043
611	0.941270
612	0.940816
613	0.941270
614	0.941497
615	0.941043
616	0.940816
617	0.941270
618	0.941497
619	0.941950
620	0.941950
621	0.941950
622	0.942177
623	0.942177
624	0.942404
625	0.942404
626	0.942404
627	0.942857
628	0.942630
629	0.942630
630	0.942404
631	0.942630
632	0.942630
633	0.943311
634	0.943084
635	0.943311
636	0.945125
637	0.945125
638	0.945125
639	0.944671
640	0.945125
641	0.944898
642	0.945351
643	0.945351
644	0.945351
645	0.945125
646	0.945125
647	0.945578
648	0.945125
649	0.945578
650	0.945351
651	0.945578
652	0.945578
653	0.945351
654	0.945125
655	0.945125
656	0.944671
657	0.946712
658	0.943764
659	0.948753
660	0.948980
661	0.948753
662	0.949206
663	0.948980
664	0.948753
665	0.949206
666	0.949887
667	0.950340
668	0.950340
669	0.950567
670	0.950567
671	0.950567
672	0.950567
673	0.950340
674	0.950340
675	0.950340
676	0.950340
677	0.950340
678	0.950340
679	0.950113
680	0.949887
681	0.949433
682	0.948980
683	0.945351
684	0.950567
685	0.950567
686	0.949660
687	0.950113
688	0.950340
689	0.951020
690	0.950113
691	0.950340
692	0.949887
693	0.950340
694	0.949433
695	0.950113
696	0.950794
697	0.950567
698	0.950113
699	0.950340
700	0.950113
Model saved as traffic_sign_classifier_model-E700-B256-R0.000125-C3-L1D24
